title,date
"Operation Tomahawk",1951-03-23
"1998 Ryukyu Islands earthquake",1998-05-04
"Arkansas gubernatorial election, 2010",2010-11-02
"2009 Bulgarian Cup Final",2009-05-26
"Battle of Rauge",1701-09-15
"Verano de Escándalo (2014)",2014-06-07
"Backlash: In Your House",1999-04-25
"1958 Lebanon crisis",1958-10-25
"United Kingdom general election, 1868 (Ireland)",1868-12-07
"Battle of the Barracks",1991-11-23
"Delaware gubernatorial election, 2000",2000-11-04
"Battle of Lenud's Ferry",1780-05-06
"Action off James Island",1813-05-28
"Hong Kong legislative election, 1985",1985-09-26
"2014 Yutian earthquake",2014-02-12
"United States Senate special election in Delaware, 2010",2010-11-02
"1990 Cup of the Soviet Army Final",1990-06-05
"Labour Party (UK) deputy leadership election, 1972",1972-04-25
"United States House of Representatives elections in Illinois, 2016",2016-11-08
"Guerra del Golfo (2015)",2015-03-15
"Irish general election, 1957",1957-03-05
"869 Sanriku earthquake",0869-07-09
"Liberian general election, 1885",1885-05-05
"27th Yokohama Film Festival",2006-02-05
"Battle of the Smala",1843-05-16
"1787 Boricua earthquake",1787-05-02
"South Australian state election, 1910",1910-04-02
"Ottawa municipal election, 2014",2014-10-27
"1972 Bulgarian Cup Final",1972-07-12
"Battle of Iganie",1831-04-10
"Second Battle of the Java Sea",1942-03-01
"Montenegrin presidential election, 2013",2013-04-07
"Ninawa campaign",2008-07-28
"Battle of Öland",1676-06-01
"Battle of Eccles Hill",1870-05-25
"2007 in WEC",2007-03-24
"Battle of Bitonto",1734-05-25
"Gujarat Legislative Assembly election, 2012",2012-12-17
"Battle of the Tagus",1831-07-11
"Battle of Altafulla",1812-01-29
"Battle of Kirksville",1862-08-06
"1960 European Cup Final",1960-05-18
"May Uprising in Dresden",1849-05-03
"French presidential election, 1953",1953-12-23
"Battle of the Sound",1658-10-29
"Battle of Fredericia",1849-07-06
"Yemeni presidential election, 1999",1999-09-23
"United States presidential election in Mississippi, 2016",2016-11-08
"Ecuadorian Constituent Assembly election, 2007",2007-09-03
"Chaambi Operations",2012-12-10
"December 2011 Jabal al-Zawiya massacres",2011-12-20
"United States presidential election, 1856",1856-11-04
"NXT TakeOver: Brooklyn",2015-08-22
"Operation Dawn 8",1986-02-25
"United States Senate election in New Jersey, 1990",1990-11-06
"2015 Maldivian FA Charity Shield",2015-04-06
"Manchester United F.C. 4–3 Manchester City F.C. (2009)",2009-09-20
"Ethiopian general election, 2015",2015-05-24
"Pennsylvania gubernatorial election, 1817",1817-11-04
"Maine gubernatorial election, 1982",1982-11-02
"London mayoral election, 2004",2004-06-10
"United States House of Representatives election in the District of Columbia, 1992",1992-11-03
"Solomon Islands campaign",1945-08-21
"South Australian state election, 2006",2006-03-18
"CMLL 60th Anniversary Show",1993-10-01
"Aden Airport attack",1965-09-17
"Battle of Ancona",1944-07-18
"Batakari day",2015-09-04
"Hamilton, Ontario, municipal election, 1985",1985-11-12
"Bắc Lệ ambush",1884-06-24
"South Australian state election, 1905",1905-05-27
"Minnesota Secretary of State election, 2010",2010-11-02
"Chilean parliamentary election, 2001",2001-12-16
"Action of 9 July 1806",1806-07-09
"Operation Iron Hammer (Iraq 2005)",2006-01-03
"ECW One Night Stand (2005)",2005-06-12
"Chilean parliamentary election, 1973",1973-03-04
"1930 All-Ireland Senior Hurling Championship Final",1930-09-07
"European Parliament election, 1994 (Netherlands)",1994-06-09
"Operation Sayeed",2005-12-22
"Guerra del Golfo (2014)",2012-03-16
"Costa Rican general election, 2010",2010-02-07
"North Dakota gubernatorial election, 1988",1988-11-08
"Bellator Fighting Championships: Season One  Bellator 1  1",2009-04-03
"Linfen–Fushan Campaign",1946-09-22
"Washington State Senate election, 2006",2006-11-07
"Passage of Humaitá",1868-02-19
"Belgian general election, 1890",1890-06-10
"Virginia Attorney General election, 2013",2013-11-05
"United States presidential election in Arizona, 2004",2004-11-02
"1993 All-Ireland Senior Camogie Championship Final",1993-09-26
"2000 Turkmenistan earthquake",2000-12-06
"1923 Campeonato de Portugal Final",1923-06-24
"Battle of Adwa",1896-03-01
"Salvadoran presidential election, 2014",2014-03-09
"Vermont gubernatorial election, 1930",1930-11-04
"French legislative election, 1967",1967-03-12
"Missouri gubernatorial election, 1908",1908-11-03
"Armageddon (2007)",2007-12-16
"1982 North Yemen earthquake",1982-12-13
"2008 occupation of Iolani Palace",2008-08-15
"Pancho Villa Expedition",1916-03-14
"Battle of Haldighati",1576-06-21
"WrestleMania XXX",2014-04-06
"First Scutari War",1413-01-30
"NXT TakeOver: Dallas",2016-04-01
"USA Final 1967",1967-07-14
"War of Canudos",1897-10-02
"Hong Kong sanitary board election, 1909",1909-01-20
"2008 El Calvario earthquake",2008-05-24
"British Virgin Islands general election, 2003",2003-06-16
"Valencian parliamentary election, 1999",1999-06-13
"London mayoral election, 2016",2016-05-05
"United States House of Representatives elections, 2002",2002-11-05
"Battle of Batoche",1885-05-12
"Battle of Alapan",1898-05-28
"Hong Kong municipal elections, 1989",1989-03-09
"Battle of Pollilur (1781)",1781-08-27
"Battle of Kleidion",1014-07-29
"Battle of Dayr al-'Aqul",0876-04-08
"WEC 50",2010-08-18
"2014 Simferopol incident",2014-03-18
"10th World Science Fiction Convention",1952-09-01
"Aragonese parliamentary election, 1995",1995-05-28
"Battle of Hlobane",1879-03-28
"Battle of Hohenfriedberg",1745-06-04
"United States presidential election in Ohio, 1980",1980-11-04
"Battle of Tornavento",1636-06-22
"Battle of Lang Son (1979)",1979-03-16
"Sheffield City Council election, 2014",2014-05-22
"Battle of Krücken",1249-11-29
"ROH The Big Bang!",2010-04-03
"European Parliament election, 1979 (Belgium)",1979-06-10
"United States presidential election in Arizona, 1992",1992-11-03
"Battle of the Strait of Gibraltar (1591)",1591-04-14
"Siege of Charleston",1780-03-29
"Latvian parliamentary election, 2011",2011-09-17
"Combat of Korneuburg",1809-07-07
"1947 Scottish League Cup Final (April)",1947-04-05
"1925 FA Charity Shield",1925-10-05
"Vermont gubernatorial election, 1954",1954-11-02
"Galilee earthquake of 1837",1837-01-01
"Michigan gubernatorial election, 2006",2006-11-07
"1984 Copa del Rey Final",1984-05-05
"Normandy landings",1944-06-06
"Siege of Mannheim (1795)",1795-11-22
"2010 Chile earthquake",2010-02-27
"Battle of María",1809-06-15
"UFC Fight Night: McGregor vs. Siver",2015-01-18
"Battle of Nuremberg (2006 FIFA World Cup)",2006-06-25
"2008 Cannes Film Festival",2008-05-14
"Capture of Jericho",1918-02-21
"1948 All-Ireland Senior Football Championship Final",1948-09-26
"Western Australian state election, 1943",1943-11-20
"South Korean by-elections, 2014",2014-07-30
"Battle of Chungju",1592-04-28
"Battle of Marj Dabiq",1516-08-24
"Spanish general election, 1936",1936-02-16
"Battle of Triangle Hill",1952-11-25
"Battle of the Lines of Elvas",1659-01-14
"Cavan County Council election, 1991",1991-06-27
"Battle of Milk Creek",1879-10-05
"Democrats 66 leadership election, 2006",2006-06-24
"Comorian presidential election, 2016",2016-04-18
"Danish Folketing election, 1935",1935-10-22
"Italian general election, 1874",1874-11-15
"European Parliament election, 2004 (Slovakia)",2004-06-13
"Operation Blue Star",1984-06-10
"Mäntsälä rebellion",1932-03-06
"1984 Football League Trophy Final",1984-05-24
"Queensland state election, 1995",1995-07-15
"Hong Kong municipal election, 1953",1953-05-20
"Missouri gubernatorial election, 2012",2012-11-06
"Battle of Jodoigne",1568-10-16
"1998 Mionica earthquake",1998-09-29
"Fastlane (2015)",2015-02-22
"Zhucheng Campaign",1945-09-05
"1959 Taça de Portugal Final",1959-07-19
"Battle of Torvioll",1444-06-29
"Bellator MMA: Season Ten  Bellator 118  1",2014-05-02
"Battle of the Denmark Strait",1941-05-24
"United States Senate election in Missouri, 2010",2010-11-02
"36th Venice International Film Festival",1979-09-05
"EMLL 44th Anniversary Show (1)",1977-09-23
"2012 Football League Championship play-off Final",2012-05-19
"Battle of Quang Tri (1968)",1968-02-06
"Battle of Gravia Inn",1821-05-08
"National Assembly for Wales election, 2016",2016-05-05
"2015 UEFA Women's Champions League Final",2015-05-14
"Italian guerrilla war in Ethiopia",1941-11-27
"Pastry War",1838-11-27
"Bellator MMA: Season Nine  Bellator 104  1",2013-10-18
"Battle of Păuliș",1944-09-19
"2014 Danish Cup Final",2014-05-15
"Fifth Battle of Ypres",1918-10-02
"Battle of Laon",1814-03-10
"Battle of Hollabrunn (1809)",1809-07-09
"Siege of Takatenjin (1581)",1581-03-22
"Battle of Shiroyama",1877-09-24
"Action of 17 February 1783",1783-02-17
"Operation Together Forward",2006-06-14
"Capture of the Jeune Richard",1807-10-01
"Greek legislative election, 1843",1843-09-16
"Soviet Union legislative election, 1979",1979-03-04
"United States presidential election in West Virginia, 2016",2016-11-08
"2010 Football League One play-off Final",2010-05-29
"United States Senate elections, 1958",1958-11-04
"Battle of San Fernando",1927-07-25
"Siege of Negapatam",1781-11-11
"1938 Scottish Cup Final",1938-04-23
"Conquest of Tunis (1574)",1574-09-13
"1979 Football League Cup Final",1979-03-17
"Battle of Pearl Ridge",1944-12-31
"Battle of Vezekény",1652-08-25
"BattleHack",2015-04-25
"United States presidential election in Vermont, 1960",1960-11-08
"New York gubernatorial election, 1982",1982-11-05
"Operation Jackpot",1971-08-15
"Belgian general election, 1848",1848-06-13
"West Dunbartonshire Council election, 1995",1995-04-06
"Battle of Stegeborg",1598-09-18
"Action of 31 July 1793",1793-07-31
"2003 FA Cup Final",2003-05-17
"Cambodian–Vietnamese War",1979-01-07
"2013 Lushan earthquake",2013-04-20
"Battle of Aspern-Essling",1809-05-22
"Labour Party (UK) leadership election, 2010",2010-08-16
"Cisleithanian legislative election, 1907 (Kingdom of Dalmatia)",1907-05-17
"Dutch general election, 1972",1972-11-29
"United States presidential election in New York, 1936",1936-11-03
"California Insurance Commissioner election, 2006",2006-11-07
"New Jersey gubernatorial election, 1859",1859-11-08
"2010 FIFA World Cup Final",2010-07-11
"1999 in Pride FC",1999-11-21
"Battle of San Cala",1841-01-09
"Iraqi governorate elections, 2013",2013-04-20
"Gulf of Sidra incident (1981)",1981-08-19
"Bombardment of Odessa",1854-04-22
"Indian general election, 2009 (Tamil Nadu)",2009-05-13
"United States Senate special election in Vermont, 1972",1972-01-07
"Battle of Prosperous",1798-05-24
"Battle of Lacolle Mills (1814)",1814-03-30
"North Carolina lieutenant gubernatorial election, 2012",2012-11-06
"Battle of Roan's Tan Yard",1862-01-08
"Battle of Donkey Island",2007-07-01
"Guerra Revolucionaria (2011)",2011-04-17
"Battle of Roccavione",1275-12-12
"Black Friday (1945)",1945-02-09
"Battle of Königsberg",1945-04-09
"United States presidential election in Utah, 2004",2004-11-02
"Greek local elections, 2010",2010-11-14
"Battle of Collioure",1793-12-23
"Action of 29 November 1811",1811-11-29
"Battle of Balantang",1899-03-10
"United States presidential election in North Dakota, 1980",1980-11-04
"Battle of Nooitgedacht",1900-12-13
"Kwun Tong District Council election, 2015",2015-11-22
"Vanuatuan general election, 2008",2008-09-02
"Belgian general election, 1946",1946-02-17
"WCW Sin",2001-01-14
"Battle of N'Djamena (2006)",2006-04-13
"Virginia gubernatorial election, 2017",2017-11-07
"United States presidential election in South Dakota, 2008",2008-11-04
"Beni special gubernatorial election, 2013",2013-01-20
"1996 Bulgarian Cup Final",1996-05-01
"Action of 10 April 1795",1795-04-11
"Battle of Tours",0732-10-10
"Battle of Bergen (1799)",1799-09-19
"Operation Tungsten",1944-04-03
"Battle of Steppes",1213-10-13
"Hundred Days",1815-07-08
"1948 Copa del Generalísimo Final",1948-07-04
"2007 Football League Two play-off Final",2007-05-26
"1933 Baffin Bay earthquake",1933-11-20
"United States presidential election in Arkansas, 1980",1980-11-04
"United States Senate election in Vermont, 2016",2016-11-08
"United States House of Representatives election in Wyoming, 2014",2014-11-04
"Battle of La Marfée",1641-07-06
"United States Senate election in New York, 1994",1994-11-08
"Raid on Batavia (1806)",1806-11-27
"Irish presidential election, 1938",1938-06-25
"CMLL Torneo Nacional de Parejas Increibles (2014)",2014-03-21
"Nigerien general election, 2011",2011-03-12
"First Battle of Adobe Walls",1864-11-25
"Fijian general election, 2006",2006-05-15
"Inangahua by-election, 1893",1893-06-08
"Adelaide Film Festival",2015-10-25
"Convoy OB 293",1941-03-02
"Sarposa prison attack of 2008",2008-06-13
"Al-Qādisiyyah governorate election, 2009",2009-01-31
"Attacks on the Butte de Warlencourt",1916-11-16
"Elimination Chamber (2014)",2014-02-23
"United States presidential election in Maine, 1996",1996-11-05
"UFC 85",2008-06-07
"New South Wales state election, 1976",1976-05-01
"Operation Black Eagle",2007-04-10
"Siege of Menagh Air Base",2012-08-02
"1982 Copa del Rey Final",1982-04-13
"Siege of Bursa",1326-04-06
"1999 Supercoppa Italiana",1999-08-21
"UFC Fight Night: Boetsch vs. Henderson",2015-06-06
"New South Wales colonial election, 1877",1877-11-12
"Raid on Port Dover",1814-05-16
"List of Titan FC events",2015-12-18
"United States Senate election in Montana, 1978",1978-11-07
"1993 Latur earthquake",1993-09-30
"Toyohashi Air Raid",1945-06-20
"Battle of Moorefield",1864-08-07
"Battle of Grodno (1706)",1706-01-15
"Conservative Party (UK) leadership election, 1997",1997-06-10
"Waterloo Campaign, 8–15 June",1815-06-15
"Battle of the Gates of Trajan",0986-08-17
"Ovče Pole Offensive",1915-11-15
"Overland Campaign",1864-06-24
"South Korean legislative election, 2008",2008-04-09
"Invercargill by-election, 1873",1873-05-22
"Battle of Zagonara",1424-07-28
"1987 Burundian coup d'état",1987-09-03
"Minnesota gubernatorial election, 1956",1956-11-06
"European Parliament election, 2014 (Malta)",2014-05-25
"Battle of Rehe",1933-03-01
"Battle of Cabrita Point",1705-03-21
"2006 Japanese Super Cup",2006-02-25
"Battle of Alkmaar (1799)",1799-10-02
"United States Senate election in Florida, 2012",2012-11-06
"Taiyuan Campaign",1948-10-05
"Huck Finn Jubilee",2014-06-15
"United Kingdom general election, 1865 (Ireland)",1865-07-24
"El Castillo del Terror (2010)",2010-11-04
"Madrilenian parliamentary election, 2007",2007-05-27
"Battle of Altenburg",1813-09-28
"South African general election, 2004",2004-04-14
"Battle of Gamenario",1345-04-22
"Galician parliamentary election, 1985",1985-12-24
"Operation Cactus-Lilly",1971-12-16
"Convoy FS 271",1940-09-05
"1993 Guam earthquake",1993-08-08
"2004 FAI Cup Final",2004-10-24
"Expedition after Forrest",1863-12-24
"Ontario general election, 1959",1959-06-11
"Next Danish general election",2019-06-17
"United States Senate election in North Dakota, 1994",1994-11-07
"TLC: Tables, Ladders and Chairs (2015)",2015-12-13
"Vermont gubernatorial election, 1990",1990-11-06
"Heiligenbeil Pocket",1945-03-29
"SY Quest incident",2011-02-22
"Capture of Montserrat",1782-02-22
"24th Yokohama Film Festival",2003-02-02
"Swiss federal election, 1995",1995-10-22
"Looting of Battleford",1885-03-30
"Burning of Fairfield (1779)",1779-07-07
"Battle of St. Quentin Canal",1918-10-10
"London Assembly election, 2012",2012-05-03
"Battle of Am Dam",2009-05-07
"Battle of Leego (2015)",2015-06-26
"Quebec City municipal election, 2013",2013-11-03
"Battle of Oulart Hill",1798-05-27
"Battle of Magnano",1799-04-05
"Capitulation of Saldanha Bay",1796-08-17
"EMLL 22nd Anniversary Show",1955-09-16
"Swedish general election, 1948",1948-09-19
"Louisiana gubernatorial election, 1824",1824-07-07
"Lancashire County Council election, 2009",2009-06-04
"1905 Bolnai earthquake",1905-07-23
"Operation Assured Delivery",2008-08-13
"Italian regional elections, 1980",1980-06-08
"New Hampshire gubernatorial election, 1998",1998-11-03
"Case Black",1943-06-16
"Survivor Series (2014)",2014-11-23
"Siege of Lleida (1644)",1644-07-30
"Tachi Palace Fights 7",2010-12-02
"Battle of Montmeló",1642-03-28
"1982 Scottish League Cup Final",1982-12-04
"Bellator MMA: Season Eleven  Bellator 131: Tito vs. Bonnar  1",2014-11-15
"Fully Loaded (2000)",2000-07-23
"Bahraini general election, 1973",1973-12-12
"Bombing of Toyokawa in World War II",1944-11-01
"Al-Hasakah city offensive (May–June 2015)",2015-06-08
"Battle of Santa Lucia",1848-05-06
"United States House of Representatives elections in Ohio, 2010",2010-11-02
